"","cluster4","cluster1","cluster2","cluster3"
"prob2_3",0.829532106415923,0.674316645009619,0.564191265109435,0.456996232269778
"prob3_4",0.865981079097308,0.741888625502714,0.659102039139043,0.6145286649235
"prob4_5",0.833210744802846,0.726171291933143,0.642533552917044,0.6141843045605
"prob5_6",0.807512621809308,0.708637811202762,0.623547955879565,0.5967249340715
"prob6_7",0.788463148348154,0.69127469409781,0.610019210166217,0.5783485629355
"prob7_8",0.783778608900539,0.686530693090048,0.606367637987565,0.580536312348056
"prob8_9",0.771815958491,0.679215885892524,0.608528382770044,0.573991573082389
"theClusterSize",13,21,23,9
